1955.67	18.95
1955.75	14.7
1955.83	9.65
1955.92	7.05
1956	5.8
1956.08	3.85
1956.17	-0.5
1956.25	6.5
1956.33	7.4
1956.42	12.65
1956.5	13.75
1956.58	16.7
1956.67	14.5
1956.75	14.75
1956.83	9.7
1956.92	6
1957	5.85
1957.08	5.8
1957.17	6.15
1957.25	9.75
1957.33	9.3
1957.42	10.8
1957.5	16.15
1957.58	17.45
1957.67	16.25
1957.75	13.3
1957.83	11.5
1957.92	6.25
1958	4.5
1958.08	3.8
1958.17	5.65
1958.25	4.35
1958.33	7.85
1958.42	12.15
1958.5	14.9
1958.58	16.55
1958.67	16.45
1958.75	15.55
1958.83	11.25
1958.92	6.75
1959	5.05
1959.08	2.15
1959.17	4.2
1959.25	7.75
1959.33	10.25
1959.42	13
1959.5	15.95
1959.58	18.35
1959.67	18.15
1959.75	15.6
1959.83	12.55
1959.92	7.15
1960	6.3
1960.08	4.05
1960.17	4.7
1960.25	6.85
1960.33	9.4
1960.42	13.3
1960.5	16.85
1960.58	15.75
1960.67	15.7
1960.75	13.8
1960.83	10.85
1960.92	7.75
1961	4.4
1961.08	4.2
1961.17	7.6
1961.25	8.65
1961.33	10.7
1961.42	11.75
1961.5	15.55
1961.58	16.5
1961.67	16.55
1961.75	15.95
1961.83	11.25
1961.92	6.15
1962	2.5
1962.08	4.55
1962.17	4.55
1962.25	3.3
1962.33	8.25
1962.42	10.9
1962.5	14.55
1962.58	16
1962.67	15.5
1962.75	13.25
1962.83	10.8
1962.92	5.55
1963	1.3
1963.08	-3
1963.17	-0.7
1963.25	6.45
1963.33	9.45
1963.42	11.25
1963.5	15.45
1963.58	15.9
1963.67	14.95
1963.75	13.65
1963.83	11.6
1963.92	8.85
1964	2.45
1964.08	3.35
1964.17	4.95
1964.25	4.65
1964.33	9.15
1964.42	13.95
1964.5	14.65
1964.58	17.35
1964.67	16.75
1964.75	15.1
1964.83	9.1
1964.92	7.75
1965	3.75
1965.08	3.8
1965.17	3.05
1965.25	5.95
1965.33	8.8
1965.42	12.35
1965.5	14.95
1965.58	14.75
1965.67	15.55
1965.75	13
1965.83	11.1
1965.92	4.95
1966	5.25
1966.08	2.9
1966.17	6.8
1966.25	6.95
1966.33	8.05
1966.42	11.75
1966.5	16.05
1966.58	15.75
1966.67	15.5
1966.75	14.4
1966.83	11.05
1966.92	5.6
1967	6.05
1967.08	4.9
1967.17	5.9
1967.25	7.65
1967.33	8.35
1967.42	11.55
1967.5	14.7
1967.58	17.9
1967.67	16.5
1967.75	14.3
1967.83	11.5
1967.92	5.95
1968	4.55
1968.08	4.65
1968.17	2.3
1968.25	7.2
1968.33	8.7
1968.42	10.6
1968.5	15.65
1968.58	15.85
1968.67	15.85
1968.75	14.55
1968.83	13.2
1968.92	6.75
1969	3.1
1969.08	6.1
1969.17	1.65
1969.25	4.2
1969.33	8.4
1969.42	12.35
1969.5	14.7
1969.58	18.15
1969.67	17.25
1969.75	14.25
1969.83	13.3
1969.92	6.1
1970	3.6
1970.08	4.25
1970.17	3.6
1970.25	4.1
1970.33	7.55
1970.42	13.75
1970.5	17
1970.58	16.15
1970.67	16.6
1970.75	15.3
1970.83	11.2
1970.92	8.5
1971	4.25
1971.08	4.85
1971.17	4.7
1971.25	5.45
1971.33	8.15
1971.42	12.35
1971.5	13.05
1971.58	18.15
1971.67	16.5
1971.75	14.65
1971.83	11.6
1971.92	6.4
1972	6.65
1972.08	4.2
1972.17	4.75
1972.25	7.3
1972.33	8.8
1972.42	11.25
1972.5	12.7
1972.58	16.4
1972.67	16.15
1972.75	12.4
1972.83	11.1
1972.92	6.65
1973	6.1
1973.08	4.45
1973.17	4.5
1973.25	6.55
1973.33	8.15
1973.42	12.15
1973.5	15.9
1973.58	16.5
1973.67	17.65
1973.75	15.35
1973.83	9.15
1973.92	6.5
1974	5.3
1974.08	6.45
1974.17	5.9
1974.25	5.85
