29.8	1.3
14.1	0.15
1.4	6.4
34.3	7.15
28.4	11.75
24.3	13.9
34.8	16.95
25.4	16.4
2.6	16.95
77.7	10.2
165.9	7.15
131.7	6.3
73	6.2
13.7	2.85
31	5.8
55.1	8.75
54.9	11.3
20.1	15.95
79.5	15.9
51.9	16.6
90.8	14.25
32	11.05
106.1	6.5
76.8	4.45
36.2	3.65
43.7	4.35
3.7	4.75
75.8	8.25
72.8	11.95
89.7	15.25
80.6	15.85
90.4	15.15
62.9	12
18.1	9.3
90.6	8.05
28.8	5.3
38.3	6.45
3.5	2.7
54.4	5
62.1	7.55
139.1	11.15
14.6	14.35
61.6	16.65
64.7	18.25
66	13.7
120.8	9.5
31.5	6.8
17.7	5.85
44.5	2.3
88.6	4.65
60.6	8.1
25.3	9.45
44.9	12.9
34.1	16
47.5	18.75
20.5	18.65
52.8	15.65
36.3	10.35
28.5	5.8
7.8	1.4
47.8	4.05
7.7	3.5
45.2	5.45
53	8.6
18	12.25
36.6	15.85
24	19.1
46.2	16.25
61.4	15.45
34.9	11.05
41.4	6.6
142.2	8.2
13.9	4.9
52	6.1
11.4	6.95
91.8	8.5
35.9	10.25
114.6	15.6
12.9	18.3
45.3	17.75
116.3	14.45
94.9	10.05
103.1	7.35
78.8	3.25
80.3	4.45
39.6	2.95
46.5	7.55
41.8	6.8
10.7	11.95
91.6	15.3
87.1	15.8
21	16.95
83.7	15
33.6	9.5
67.7	5.6
50.7	5.35
84.8	5.45
120.3	6.5
77.5	4.25
66.9	9.65
66.7	12.85
39.8	15
35.2	16.9
11.2	18.05
50.4	14.2
68.6	11
31	5.1
48.5	3.35
67.3	6.1
21.3	5.1
8.9	9.9
2.7	7.75
50.1	11.2
24.3	15.55
30.4	16.35
91.8	17.25
54.5	14.55
72	10.9
80.6	9.9
73.5	4.35
113	4.85
26.6	6.15
40	6.2
76.8	9.5
30.1	11.8
49.9	14.6
106.2	15.95
42.6	16.95
13.8	15.05
134	8.85
104.3	9.4
36.3	3.1
74.2	-1.35
55.8	2.9
64.3	6.65
45.2	9.45
38	13.2
15.3	16.85
61	15.8
1.8	16.6
24.1	13.9
67.1	9.95
175.5	7.3
32.8	3.7
64.4	0.9
63.9	4.3
64.5	5.4
26.3	7.15
43.7	9.55
52.9	15.95
112.7	18.35
85.1	15.3
10.6	14.7
28.8	10.55
66.6	7.1
29.8	5.5
87.5	0.75
16.8	0.1
60.3	5.65
26	9.7
78.8	11.8
4.1	15.5
46.8	16.35
94.2	17.3
28.4	14.3
89.4	10.95
50	5.15
85.9	7.05
96.5	5.6
23.7	6.1
19.6	6.95
25.7	11.55
57.4	12.95
43	15.2
25	17.45
56.9	17.1
44	14
62	10.9
35.1	6.35
26	3.5
36.3	6.1
23.2	3.65
6.5	5.75
36.2	10.95
18.1	12.4
52.2	14.3
56.2	17.3
49	18.1
64.8	13.25
85.6	9.9
91	6.7
40.5	3.4
49.9	0.6
46.8	7.8
20.4	8.5
32.6	10.85
54	13.1
66.2	15.25
52	17.45
37.2	16.5
47.5	15.05
69.4	12.25
4.8	7.2
88.9	5.3
35.2	3
56.1	6.7
24.4	5.45
34.4	10.55
78.6	10.95
58.3	13.8
32.2	17.5
92.2	15.75
85.4	14.7
20.2	10.4
114.1	8.45
53.8	3.05
35.2	2.15
42.5	-2.3
132.9	4.5
47	9.5
47.9	14.1
27.4	16.45
43.2	18.1
15	19.45
29.3	15.9
10.5	10.7
32.2	7.75
44.9	5.45
127.3	6.15
22.6	5.05
18.5	8.75
42.6	9.6
126	12
53.7	14.2
21.7	16.6
87.3	16
63.1	14.9
59.3	10.35
38.3	7.35
68.7	6.25
23.4	5.85
25.8	5.95
