-0.141796	1.3
-0.231511	0.15
-0.304082	6.4
-0.116082	7.15
-0.149796	11.75
-0.173225	13.9
-0.113225	16.95
-0.166939	16.4
-0.297225	16.95
0.131918	10.2
0.635918	7.15
0.440489	6.3
0.105061	6.2
-0.233796	2.85
-0.134939	5.8
0.00277513	8.75
0.00163228	11.3
-0.197225	15.95
0.142204	15.9
-0.0155106	16.6
0.206775	14.25
-0.129225	11.05
0.294204	6.5
0.126775	4.45
-0.105225	3.65
-0.0623677	4.35
-0.290939	4.75
0.121061	8.25
0.103918	11.95
0.200489	15.25
0.148489	15.85
0.204489	15.15
0.0473466	12
-0.208653	9.3
0.205632	8.05
-0.147511	5.3
-0.0932249	6.45
-0.292082	2.7
-0.00122487	5
0.0427751	7.55
0.482775	11.15
-0.228653	14.35
0.039918	16.65
0.0576323	18.25
0.0650608	13.7
0.378204	9.5
-0.132082	6.8
-0.210939	5.85
-0.0577963	2.3
0.194204	4.65
0.0342037	8.1
-0.167511	9.45
-0.0555106	12.9
-0.117225	16
-0.0406534	18.75
-0.194939	18.65
-0.0103677	15.65
-0.104653	10.35
-0.149225	5.8
-0.267511	1.4
-0.0389392	4.05
-0.268082	3.5
-0.0537963	5.45
-0.00922487	8.6
-0.209225	12.25
-0.102939	15.85
-0.174939	19.1
-0.048082	16.25
0.0387751	15.45
-0.112653	11.05
-0.0755106	6.6
0.500489	8.2
-0.232653	4.9
-0.0149392	6.1
-0.246939	6.95
0.212489	8.5
-0.106939	10.25
0.342775	15.6
-0.238368	18.3
-0.0532249	17.75
0.352489	14.45
0.230204	10.05
0.277061	7.35
0.138204	3.25
0.146775	4.45
-0.0857963	2.95
-0.0463677	7.55
-0.0732249	6.8
-0.250939	11.95
0.211347	15.3
0.185632	15.8
-0.192082	16.95
0.166204	15
-0.120082	9.5
0.0747751	5.6
-0.0223677	5.35
0.172489	5.45
0.375347	6.5
0.130775	4.25
0.0702037	9.65
0.0690608	12.85
-0.0846534	15
-0.110939	16.9
-0.248082	18.05
-0.024082	14.2
0.079918	11
-0.134939	5.1
-0.0349392	3.35
0.0724894	6.1
-0.190368	5.1
-0.261225	9.9
-0.296653	7.75
-0.0257963	11.2
-0.173225	15.55
-0.138368	16.35
0.212489	17.25
-0.000653439	14.55
0.0993466	10.9
0.148489	9.9
0.107918	4.35
0.333632	4.85
-0.160082	6.15
-0.0835106	6.2
0.126775	9.5
-0.140082	11.8
-0.0269392	14.6
0.294775	15.95
-0.0686534	16.95
-0.233225	15.05
0.453632	8.85
0.283918	9.4
-0.104653	3.1
0.111918	-1.35
0.00677513	2.9
0.0553466	6.65
-0.0537963	9.45
-0.0949392	13.2
-0.224653	16.85
0.0364894	15.8
-0.301796	16.6
-0.174368	13.9
0.0713466	9.95
0.690775	7.3
-0.124653	3.7
0.055918	0.9
0.0530608	4.3
0.0564894	5.4
-0.161796	7.15
-0.0623677	9.55
-0.0097963	15.95
0.331918	18.35
0.174204	15.3
-0.251511	14.7
-0.147511	10.55
0.0684894	7.1
-0.141796	5.5
0.187918	0.75
-0.216082	0.1
0.0324894	5.65
-0.163511	9.7
0.138204	11.8
-0.288653	15.5
-0.0446534	16.35
0.226204	17.3
-0.149796	14.3
0.198775	10.95
-0.0263677	5.15
0.178775	7.05
0.239347	5.6
-0.176653	6.1
-0.200082	6.95
-0.165225	11.55
0.015918	12.95
-0.0663677	15.2
-0.169225	17.45
0.0130608	17.1
-0.0606534	14
0.0422037	10.9
-0.111511	6.35
-0.163511	3.5
-0.104653	6.1
-0.179511	3.65
-0.274939	5.75
-0.105225	10.95
